En HTML, quelle balise est utilisée pour insérer une image ?; <img>; <a>; <div>; <span>; 1; In HTML, which tag is used to insert an image?; <img>; <a>; <div>; <span>; 1;
Quelle est la balise HTML pour créer un lien hypertexte ?; <a>; <link>; <href>; <src>; 1; What is the HTML tag to create a hyperlink?; <a>; <link>; <href>; <src>; 1;
Quelle balise HTML est utilisée pour définir un titre de niveau 1 ?; <h1>; <title>; <head>; <header>; 1; Which HTML tag is used to define a level 1 heading?; <h1>; <title>; <head>; <header>; 1;
Quelle balise HTML est utilisée pour insérer une liste non ordonnée ?; <ul>; <ol>; <li>; <dl>; 1; Which HTML tag is used to insert an unordered list?; <ul>; <ol>; <li>; <dl>; 1;
Quel attribut HTML est utilisé pour définir une image de remplacement pour une image ?; alt; src; title; href; 1; Which HTML attribute is used to define an alternate text for an image?; alt; src; title; href; 1;
Quel attribut HTML est utilisé pour ouvrir un lien dans une nouvelle fenêtre ou un nouvel onglet ?; target; href; src; alt; 1; Which HTML attribute is used to open a link in a new window or tab?; target; href; src; alt; 1;
Quel attribut HTML est utilisé pour définir la source d'une image ?; src; alt; href; title; 1; Which HTML attribute is used to define the source of an image?; src; alt; href; title; 1;
Quel attribut HTML est utilisé pour définir le texte d'une info-bulle ?; title; alt; src; href; 1; Which HTML attribute is used to define the tooltip text?; title; alt; src; href; 1;
Quelle balise HTML est utilisée pour insérer une ligne horizontale ?; <hr>; <br>; <div>; <span>; 1; Which HTML tag is used to insert a horizontal line?; <hr>; <br>; <div>; <span>; 1;
Quelle balise HTML est utilisée pour insérer une ligne de saut ?; <br>; <hr>; <div>; <span>; 1; Which HTML tag is used to insert a line break?; <br>; <hr>; <div>; <span>; 1;
Quelle balise HTML est utilisée pour insérer une cellule de tableau ?; <td>; <tr>; <table>; <th>; 1; Which HTML tag is used to insert a table cell?; <td>; <tr>; <table>; <th>; 1;
Quelle balise HTML est utilisée pour insérer une ligne de tableau ?; <tr>; <td>; <table>; <th>; 1; Which HTML tag is used to insert a table row?; <tr>; <td>; <table>; <th>; 1;
Quel protocole est utilisé pour transférer des pages web ?; HTTP; FTP; SMTP; SNMP; 1; Which protocol is used to transfer web pages?; HTTP; FTP; SMTP; SNMP; 1;
Quel est le langage de balisage standard pour créer des pages web ?; HTML; XML; JSON; CSS; 1; What is the standard markup language for creating web pages?; HTML; XML; JSON; CSS; 1;
Quel est le langage de style utilisé pour décrire la présentation d'une page web ?; CSS; HTML; JavaScript; PHP; 1; What is the style language used to describe the presentation of a web page?; CSS; HTML; JavaScript; PHP; 1;
Quel langage de programmation est principalement utilisé pour ajouter de l'interactivité à une page web ?; JavaScript; Python; Java; C++; 1; Which programming language is primarily used to add interactivity to a web page?; JavaScript; Python; Java; C++; 1;
Quel est le format de fichier standard pour les images sur le web ?; JPEG; MP3; PDF; DOCX; 1; What is the standard file format for images on the web?; JPEG; MP3; PDF; DOCX; 1;
Quel est le format de fichier standard pour les vidéos sur le web ?; MP4; JPEG; MP3; DOCX; 1; What is the standard file format for videos on the web?; MP4; JPEG; MP3; DOCX; 1;
Quel est le format de fichier standard pour les fichiers audio sur le web ?; MP3; JPEG; MP4; DOCX; 1; What is the standard file format for audio files on the web?; MP3; JPEG; MP4; DOCX; 1;
Quel est le langage de requête utilisé pour interroger les bases de données sur le web ?; SQL; HTML; CSS; JavaScript; 1; What is the query language used to query databases on the web?; SQL; HTML; CSS; JavaScript; 1;
Quel est le langage de balisage utilisé pour transporter et stocker des données ?; XML; HTML; CSS; JavaScript; 1; What is the markup language used to transport and store data?; XML; HTML; CSS; JavaScript; 1;
Quel est le langage de balisage léger utilisé pour structurer des documents en texte brut ?; Markdown; HTML; XML; CSS; 1; What is the lightweight markup language used to structure plain text documents?; Markdown; HTML; XML; CSS; 1;