En Python, quelle est la sortie de print(3 * 4) ?; 12; 34; 7; 14; 1
Quel est le résultat de 2 ** 3 en Python ?; 8; 6; 5; 4; 1
Quelle fonction Python permet d'obtenir la racine carrée d'un nombre ?; sqrt; root; pow; abs; 1
Que fait l'expression x % 2 en Python ?; Vérifie si x est impair; Vérifie si x est pair; Donne le quotient de x divisé par 2; Donne le reste de la division de x par 2; 4
En Python, quel est le résultat de abs(-5) ?; 5; -5; 0; 10; 1
Quelle méthode Python permet de calculer la puissance d'un nombre ?; pow; exp; abs; log; 1
Quel est le résultat de 10 / 3 en Python 3 ?; 3.3333333333333335; 3; 3.33; 4; 1
En JavaScript, quelle méthode est utilisée pour arrondir un nombre à l'entier le plus proche ?; Math.round(); Math.floor(); Math.ceil(); Math.trunc();; 1
En Python, quelle fonction permet de trouver la valeur absolue d'un nombre ?; abs; fabs; sqrt; value; 1
En Python, que retourne float('3.14') ?; 3.14; '3.14'; 3; 3.14159; 1
En Python, quelle fonction permet d'obtenir la partie entière d'une division ?; //; /; abs; int; 1
En Python, quel est le résultat de 3 * 2 + 5 ?; 11; 7; 10; 9; 1
En Python, quelle est la sortie de pow(2, 3) ?; 8; 4; 6; 9; 1
En Python, quelle est la sortie de round(5.55) ?; 6; 5; 5.5; 6.0; 1
En Python, quel est le résultat de abs(-3.5) ?; 3.5; 3; -3.5; 5; 1
En Python, quelle est la sortie de print(10 / 3) ?; 3.3333333333333335; 3; 4; 2; 1
En Java, quelle méthode permet de générer un nombre aléatoire entre 0 et 1 ?; Math.random(); random(); rand(); generate(); 1
Quel est le résultat de print(10 // 3) en Python ?; 3; 2; 3.33; 4; 1
Quel est le résultat de print(5 * 2 - 8) en Python ?; 2; 0; 1; 5; 1
En Python, quel est le résultat de 3 + 2 * 5 ?; 13; 10; 12; 15; 1
En Python, quelle méthode calcule la racine carrée d'un nombre ?; sqrt; pow; abs; round; 1
Quel est le résultat de round(5.3) en Python ?; 5; 6; 5.0; 4; 1
En Python, quel est le résultat de pow(4, 2) ?; 16; 4; 8; 2; 1
Que fait la fonction print() en Python ?; Crée une variable; Affiche du texte à l'écran; Calcule une opération; Convertit une chaîne de caractères en entier; 2
Que signifie l'opérateur == en Python ?; Comparaison d'égalité; Addition; Soustraction; Multiplication; 1